timestamp,log_type,level,client_ip,user_id,method,endpoint,status_code,response_time_ms,user_agent,message,sql_query,query_duration_ms,server,tenant_id
2025-10-02T10:47:23,web_request,INFO,42.42.141.251,453,PUT,/api/users,201,67,Mozilla/5.0 (Windows NT 5.01; mk-MK; rv:1.9.0.20) Gecko/8982-01-27 08:56:16 Firefox/13.0,Resource created successfully at /api/users,,,server-02,tenant_18
2025-10-02T10:52:06,database_query,INFO,213.180.5.4,200,POST,/api/products,200,150,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0),Successfully processed POST request to /api/products,,,server-03,tenant_9
2025-10-02T10:56:35,web_request,INFO,59.236.4.183,158,GET,/api/integrations,200,294,Mozilla/5.0 (Android 2.3.1; Mobile; rv:36.0) Gecko/36.0 Firefox/36.0,Successfully processed GET request to /api/integrations,,,server-01,tenant_27
2025-10-02T11:01:28,web_request,INFO,27.181.70.187,73,GET,/api/settings,500,144,Mozilla/5.0 (Windows NT 6.0; hne-IN; rv:1.9.1.20) Gecko/7458-06-25 05:40:24 Firefox/3.8,Internal server error processing GET /api/settings,,,server-01,tenant_4
2025-10-02T11:05:15,web_request,WARNING,179.204.200.28,260,PUT,/api/billing,200,240,Opera/9.27.(X11; Linux x86_64; se-NO) Presto/2.9.174 Version/10.00,Successfully processed PUT request to /api/billing,,,server-04,tenant_5
2025-10-02T11:07:51,web_request,CRITICAL,92.12.89.50,435,PUT,/api/integrations,500,325,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; st-ZA) AppleWebKit/533.23.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.23.2",Internal server error processing PUT /api/integrations,,,server-03,tenant_48
2025-10-02T11:13:08,database_query,INFO,215.206.78.164,426,POST,/api/integrations,404,226,Mozilla/5.0 (Windows NT 6.1; gv-GB; rv:1.9.1.20) Gecko/8119-02-26 03:19:36 Firefox/11.0,Resource not found at /api/integrations,,,server-04,tenant_45
2025-10-02T11:19:55,web_request,INFO,217.158.47.11,,POST,/api/integrations,200,276,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.0),Successfully processed POST request to /api/integrations,SELECT * FROM orders WHERE tenant_id = 'tenant_1' ORDER BY created_at DESC LIMIT 10,1550,server-01,tenant_45
2025-10-02T11:27:43,web_request,WARNING,69.196.138.220,242,GET,/api/products,201,403,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1 rv:5.0; ts-ZA) AppleWebKit/532.21.1 (KHTML, like Gecko) Version/5.0 Safari/532.21.1",Resource created successfully at /api/products,,,server-03,tenant_41
2025-10-02T11:29:52,database_query,INFO,168.30.224.52,234,GET,/api/analytics/dashboard,401,26,"Mozilla/5.0 (iPad; CPU iPad OS 17_3_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/56.0.850.0 Mobile/19H151 Safari/533.0",Unauthorized access attempt to /api/analytics/dashboard,,,server-03,tenant_46
2025-10-02T11:34:10,database_query,INFO,124.170.187.231,314,GET,/api/orders,200,394,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.36.7 (KHTML, like Gecko) Version/4.0.1 Safari/534.36.7",Successfully processed GET request to /api/orders,,,server-04,tenant_48
2025-10-02T11:35:08,database_query,ERROR,134.5.28.175,338,PUT,/api/users,200,318,Opera/9.66.(X11; Linux i686; id-ID) Presto/2.9.165 Version/10.00,Successfully processed PUT request to /api/users,,,server-05,tenant_4
2025-10-02T11:36:13,web_request,WARNING,106.245.205.50,317,GET,/api/integrations,200,363,Opera/8.44.(X11; Linux x86_64; mn-MN) Presto/2.9.162 Version/12.00,Successfully processed GET request to /api/integrations,,,server-02,tenant_29
2025-10-02T11:38:10,database_query,INFO,81.171.174.185,39,GET,/api/users,201,70,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6 rv:3.0; th-TH) AppleWebKit/533.23.7 (KHTML, like Gecko) Version/4.0.5 Safari/533.23.7",Resource created successfully at /api/users,,,server-03,tenant_34
2025-10-02T11:50:59,web_request,INFO,131.187.208.251,211,GET,/api/auth/login,401,80,Opera/9.16.(Windows NT 5.01; mr-IN) Presto/2.9.177 Version/10.00,Unauthorized access attempt to /api/auth/login,,,server-01,tenant_42
2025-10-02T11:52:27,web_request,INFO,58.94.55.185,94,GET,/api/reports,200,47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3 rv:2.0; nr-ZA) AppleWebKit/533.44.5 (KHTML, like Gecko) Version/4.0 Safari/533.44.5",Successfully processed GET request to /api/reports,"INSERT INTO audit_logs (user_id, action, timestamp) VALUES (94, 'login', NOW())",1499,server-05,tenant_6
